Query,Line Number,Seed,Link,Rising Value,Date
 OCTOBER,6,October 7 2023,https://trends.google.ca/trends/explore?q=october+7+2023&date=now+1-d&geo=CA,+200%,2024-09-27
 OCTOBER,7,October 7th attack,https://trends.google.ca/trends/explore?q=october+7th+attack&date=now+1-d&geo=CA,+140%,2024-09-27
 OCTOBER,8,What happened on october 7th 2023,https://trends.google.ca/trends/explore?q=what+happened+on+october+7th+2023&date=now+1-d&geo=CA,+130%,2024-09-27
 OCTOBER,9,October 7th hamas attack,https://trends.google.ca/trends/explore?q=october+7th+hamas+attack&date=now+1-d&geo=CA,+120%,2024-09-27
 OCTOBER,10,October 1 holiday canada,https://trends.google.ca/trends/explore?q=october+1+holiday+canada&date=now+1-d&geo=CA,+110%,2024-09-27
 OCTOBER,11,October 7 hamas attack,https://trends.google.ca/trends/explore?q=october+7+hamas+attack&date=now+1-d&geo=CA,+110%,2024-09-27
 OCTOBER,12,October government payments,https://trends.google.ca/trends/explore?q=october+government+payments&date=now+1-d&geo=CA,+80%,2024-09-27
 OCTOBER,13,October 2022 calendar,https://trends.google.ca/trends/explore?q=october+2022+calendar&date=now+1-d&geo=CA,+80%,2024-09-27
 OCTOBER,14,October 1st holiday canada,https://trends.google.ca/trends/explore?q=october+1st+holiday+canada&date=now+1-d&geo=CA,+80%,2024-09-27
 OCTOBER,15,Netflix canada september 2024,https://trends.google.ca/trends/explore?q=netflix+canada+september+2024&date=now+1-d&geo=CA,+80%,2024-09-27
 OCTOBER,16,Welcome october,https://trends.google.ca/trends/explore?q=welcome+october&date=now+1-d&geo=CA,+80%,2024-09-27
 OCTOBER,17,October 7th,https://trends.google.ca/trends/explore?q=october+7th&date=now+1-d&geo=CA,+70%,2024-09-27
 OCTOBER,18,How many days till october 5,https://trends.google.ca/trends/explore?q=how+many+days+till+october+5&date=now+1-d&geo=CA,+70%,2024-09-27
 OCTOBER,19,October 1st holiday,https://trends.google.ca/trends/explore?q=october+1st+holiday&date=now+1-d&geo=CA,+70%,2024-09-27
 OCTOBER,20,Amazon prime day october 2024,https://trends.google.ca/trends/explore?q=amazon+prime+day+october+2024&date=now+1-d&geo=CA,+70%,2024-09-27
